iter	TotalF1	MultiClass
407	0.6927357364	0.6620168941
408	0.692738644	0.6619849593
409	0.6927302758	0.6619769328
410	0.6927300513	0.6619643495
411	0.6927636428	0.6619508157
412	0.6927809174	0.6619347878
413	0.692809562	0.6619095693
414	0.6928082022	0.6618868013
415	0.6927825624	0.6618671193
416	0.6927071811	0.6618399366
417	0.6926761513	0.6618280636
418	0.6928067649	0.6618055575
419	0.6927613514	0.6617702669
420	0.6928151934	0.6617548775
421	0.6928244078	0.661747321
422	0.692837961	0.6617209562
423	0.6928646327	0.6616950315
424	0.6928414238	0.6616853855
425	0.6928590822	0.6616603906
426	0.6929022662	0.6616314552
427	0.6928387907	0.6616102162
428	0.6928456169	0.6615829351
429	0.6928589989	0.661565868
430	0.6928991218	0.6615498038
431	0.6928755354	0.6615416754
432	0.6928869498	0.6615282609
433	0.6928525773	0.6615071874
434	0.6929300173	0.6614764915
435	0.692939533	0.6614660749
436	0.6929429363	0.6614417784
437	0.6929513581	0.6614038454
438	0.6929408377	0.6613858244
439	0.69299052	0.6613558446
440	0.6930205444	0.6613387329
441	0.6930467779	0.6613230442
442	0.6929249783	0.661291237
443	0.6929201783	0.6612747873
444	0.6929363055	0.6612471431
445	0.6929561271	0.6612244511
446	0.6929126984	0.6612077354
447	0.6929239244	0.6611970474
448	0.6929347958	0.6611909436
449	0.6929570403	0.661179202
450	0.6929737729	0.6611491232
451	0.6929213158	0.6611221789
452	0.6929121305	0.6611134672
453	0.6928690111	0.6610981538
454	0.6928996277	0.6610897758
455	0.6929079804	0.6610783236
456	0.6929111916	0.6610526752
457	0.6929264467	0.6610425167
458	0.6929194772	0.6610322741
459	0.6929636985	0.6610039332
460	0.6929836629	0.6609724954
461	0.692980323	0.6609547754
462	0.692995086	0.6609295229
463	0.6930573062	0.6609115208
464	0.6930667755	0.6608868115
465	0.6930732235	0.6608725729
466	0.6931102218	0.6608493037
467	0.6930697607	0.6608382489
468	0.6930691912	0.6608110486
469	0.6931382726	0.6607995538
470	0.6930727009	0.6607819755
471	0.6931018448	0.6607465872
472	0.6931084486	0.6607418425
473	0.6931926563	0.6607320546
474	0.6931964949	0.6607097396
475	0.6932004114	0.6606929147
476	0.6931552208	0.6606748586
477	0.6931518804	0.6606583704
478	0.6931758491	0.6606345774
479	0.6931923357	0.6606195561
480	0.6932127737	0.6606167072
481	0.6931666913	0.6605917807
482	0.693161642	0.6605728097
483	0.693194227	0.6605522069
484	0.6931978088	0.6605388225
485	0.6932393761	0.6605122719
486	0.6932235996	0.6604962635
487	0.6932574205	0.6604871058
488	0.6932692656	0.6604649297
489	0.6932711505	0.6604473792
490	0.6933092046	0.6604204232
491	0.6933325761	0.660398239
492	0.6933345215	0.6603758103
493	0.693348578	0.6603661992
494	0.6934046583	0.6603441713
495	0.6934297519	0.6603349971
496	0.693433535	0.6603202733
497	0.6934258927	0.6603116356
498	0.6934277705	0.660289948
499	0.69347634	0.6602639632
